hhid,h10q13,h10q14,h10q15a,h10q15b,h10q15c,h10q16,h10q17a,h10q17b,h10q17c,hh
H0010101,Firewood,No,,,,,,,,H00101-05-01
H0010101,Kerosene,Yes,No,Yes,No,Purchase from shop,3500.0,1.0,Litre,H00101-05-01
H0010101,Dung,No,,,,,,,,H00101-05-01
H0010101,Solar,No,,,,,,,,H00101-05-01
H0010101,lpg,No,,,,,,,,H00101-05-01
H0010101,Charcoal,Yes,Yes,No,No,Purchase from public utility,40.0,20.0,Heap - Medium,H00101-05-01
H0010101,Crop Residue,No,,,,,,,,H00101-05-01
H0010101,Electricity,No,,,,,,,,H00101-05-01
H0010201,lpg,No,,,,,,,,H00102-05-01
H0010201,Electricity,No,,,,,,,,H00102-05-01
H0010201,Dung,No,,,,,,,,H00102-05-01
H0010201,Crop Residue,No,,,,,,,,H00102-05-01
H0010201,Firewood,Yes,Yes,No,No,Gather / collect from village,,,,H00102-05-01
H0010201,Charcoal,No,,,,,,,,H00102-05-01
H0010201,Solar,No,,,,,,,,H00102-05-01
H0010201,Kerosene,Yes,No,Yes,No,Purchase from shop,1500.0,0.5,Litre,H00102-05-01
H0010401,Solar,No,,,,,,,,H00104-05-01
H0010401,Dung,No,,,,,,,,H00104-05-01
H0010401,Charcoal,Yes,Yes,No,No,Purchase from public utility,7000.0,1.0,Plastic basin - 15ltrs,H00104-05-01
H0010401,lpg,No,,,,,,,,H00104-05-01
H0010401,Crop Residue,No,,,,,,,,H00104-05-01
H0010401,Firewood,No,,,,,,,,H00104-05-01
H0010401,Electricity,No,,,,,,,,H00104-05-01
H0010401,Kerosene,Yes,No,Yes,No,Purchase from shop,1500.0,5.0,Litre,H00104-05-01
H0011001,Firewood,No,,,,,,,,H00110-05-01
H0011001,Dung,No,,,,,,,,H00110-05-01
H0011001,Charcoal,No,,,,,,,,H00110-05-01
H0011001,Electricity,No,,,,,,,,H00110-05-01
H0011001,Kerosene,Yes,No,Yes,No,Purchase from shop,2000.0,0.5,Litre,H00110-05-01
H0011001,Crop Residue,No,,,,,,,,H00110-05-01
H0011001,lpg,No,,,,,,,,H00110-05-01
H0011001,Solar,No,,,,,,,,H00110-05-01
H0020801,Electricity,Yes,No,Yes,No,,,,,H00208-05-01
H0020801,Dung,No,,,,,,,,H00208-05-01
H0020801,Solar,No,,,,,,,,H00208-05-01
H0020801,Kerosene,No,,,,,,,,H00208-05-01
H0020801,lpg,No,,,,,,,,H00208-05-01
H0020801,Firewood,No,,,,,,,,H00208-05-01
H0020801,Charcoal,Yes,Yes,No,No,Purchase on the black market,50000.0,1.0,Sack (120kgs),H00208-05-01
H0020801,Crop Residue,No,,,,,,,,H00208-05-01
H0020901,Kerosene,No,,,,,,,,H00209-05-01
H0020901,lpg,No,,,,,,,,H00209-05-01
H0020901,Electricity,Yes,No,Yes,No,,,,,H00209-05-01
H0020901,Crop Residue,No,,,,,,,,H00209-05-01
H0020901,Firewood,No,,,,,,,,H00209-05-01
H0020901,Solar,No,,,,,,,,H00209-05-01
H0020901,Dung,No,,,,,,,,H00209-05-01
H0020901,Charcoal,Yes,Yes,No,No,Purchase from marketplace,35000.0,1.0,Sack (100kgs),H00209-05-01
H0021101,Dung,No,,,,,,,,H00211-05-01
H0021101,Kerosene,Yes,Yes,No,No,Purchase from public utility,10500.0,5.0,Litre,H00211-05-01
H0021101,Crop Residue,No,,,,,,,,H00211-05-01
H0021101,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Heap - Medium,H00211-05-01
H0021101,Firewood,No,,,,,,,,H00211-05-01
H0021101,Electricity,Yes,No,Yes,No,,,,,H00211-05-01
H0021101,lpg,No,,,,,,,,H00211-05-01
H0021101,Solar,No,,,,,,,,H00211-05-01
H0021301,Charcoal,Yes,Yes,No,Yes,Purchase on the black market,65000.0,1.0,Sack (100kgs),H00213-05-01
H0021301,Crop Residue,No,,,,,,,,H00213-05-01
H0021301,lpg,No,,,,,,,,H00213-05-01
H0021301,Firewood,No,,,,,,,,H00213-05-01
H0021301,Electricity,Yes,No,Yes,No,,,,,H00213-05-01
H0021301,Solar,No,,,,,,,,H00213-05-01
H0021301,Dung,No,,,,,,,,H00213-05-01
H0021301,Kerosene,No,,,,,,,,H00213-05-01
H0030101,Kerosene,No,,,,,,,,H00301-05-01
H0030101,Solar,No,,,,,,,,H00301-05-01
H0030101,Dung,No,,,,,,,,H00301-05-01
H0030101,Electricity,Yes,No,Yes,No,,,,,H00301-05-01
H0030101,Firewood,No,,,,,,,,H00301-05-01
H0030101,Charcoal,Yes,Yes,No,No,Purchase on the black market,30000.0,1.0,Sack (80kgs),H00301-05-01
H0030101,lpg,No,,,,,,,,H00301-05-01
H0030101,Crop Residue,No,,,,,,,,H00301-05-01
H0030201,Charcoal,Yes,Yes,No,No,Purchase on the black market,6000.0,1.0,Plastic basin - 15ltrs,H00302-05-01
H0030201,Firewood,No,,,,,,,,H00302-05-01
H0030201,Solar,No,,,,,,,,H00302-05-01
H0030201,Kerosene,No,,,,,,,,H00302-05-01
H0030201,Crop Residue,No,,,,,,,,H00302-05-01
H0030201,Electricity,Yes,No,Yes,No,,,,,H00302-05-01
H0030201,Dung,No,,,,,,,,H00302-05-01
H0030201,lpg,No,,,,,,,,H00302-05-01
H0030301,Dung,No,,,,,,,,H00303-05-01
H0030301,Solar,No,,,,,,,,H00303-05-01
H0030301,Firewood,No,,,,,,,,H00303-05-01
H0030301,Electricity,No,,,,,,,,H00303-05-01
H0030301,Charcoal,Yes,Yes,No,No,Purchase on the black market,24000.0,4.0,Plastic basin - 15ltrs,H00303-05-01
H0030301,Kerosene,No,,,,,,,,H00303-05-01
H0030301,Crop Residue,No,,,,,,,,H00303-05-01
H0030301,lpg,No,,,,,,,,H00303-05-01
H0030401,Dung,No,,,,,,,,H00304-05-01
H0030401,Charcoal,Yes,Yes,No,Yes,Purchase from marketplace,1000.0,2.0,Sadolin tin - 3ltrs,H00304-05-01
H0030401,lpg,No,,,,,,,,H00304-05-01
H0030401,Electricity,No,,,,,,,,H00304-05-01
H0030401,Kerosene,Yes,No,Yes,No,Purchase from shop,1400.0,0.5,Litre,H00304-05-01
H0030401,Solar,No,,,,,,,,H00304-05-01
H0030401,Firewood,No,,,,,,,,H00304-05-01
H0030401,Crop Residue,No,,,,,,,,H00304-05-01
H0030701,Kerosene,No,,,,,,,,H00307-05-01
H0030701,Solar,No,,,,,,,,H00307-05-01
H0030701,lpg,No,,,,,,,,H00307-05-01
H0030701,Crop Residue,No,,,,,,,,H00307-05-01
H0030701,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Heap - Small,H00307-05-01
H0030701,Firewood,No,,,,,,,,H00307-05-01
H0030701,Electricity,Yes,No,Yes,No,,,,,H00307-05-01
H0030701,Dung,No,,,,,,,,H00307-05-01
H0031201,Electricity,Yes,No,Yes,No,,,,,H00312-05-01
H0031201,Kerosene,No,,,,,,,,H00312-05-01
H0031201,Solar,No,,,,,,,,H00312-05-01
H0031201,Dung,No,,,,,,,,H00312-05-01
H0031201,Crop Residue,No,,,,,,,,H00312-05-01
H0031201,Charcoal,Yes,Yes,No,No,Purchase on the black market,30000.0,30.0,Sadolin tin - 3ltrs,H00312-05-01
H0031201,Firewood,No,,,,,,,,H00312-05-01
H0031201,lpg,No,,,,,,,,H00312-05-01
H0031301,Dung,No,,,,,,,,H00313-05-01
H0031301,Charcoal,Yes,Yes,No,No,Purchase on the black market,50000.0,1.0,Sack (100kgs),H00313-05-01
H0031301,Solar,No,,,,,,,,H00313-05-01
H0031301,Crop Residue,No,,,,,,,,H00313-05-01
H0031301,Electricity,Yes,No,Yes,No,,,,,H00313-05-01
H0031301,Kerosene,No,,,,,,,,H00313-05-01
H0031301,lpg,No,,,,,,,,H00313-05-01
H0031301,Firewood,No,,,,,,,,H00313-05-01
H0060601,Kerosene,No,,,,,,,,H00606-05-01
H0060601,Solar,No,,,,,,,,H00606-05-01
H0060601,lpg,No,,,,,,,,H00606-05-01
H0060601,Charcoal,Yes,Yes,No,No,Purchase from marketplace,15000.0,15.0,Heap - Small,H00606-05-01
H0060601,Crop Residue,No,,,,,,,,H00606-05-01
H0060601,Firewood,No,,,,,,,,H00606-05-01
H0060601,Dung,No,,,,,,,,H00606-05-01
H0060601,Electricity,Yes,No,Yes,No,,,,,H00606-05-01
H0070401,Dung,No,,,,,,,,H00704-05-01
H0070401,Firewood,Yes,Yes,No,No,Purchase from marketplace,4000.0,2.0,Bundle -small,H00704-05-01
H0070401,Solar,No,,,,,,,,H00704-05-01
H0070401,Electricity,No,,,,,,,,H00704-05-01
H0070401,Kerosene,Yes,No,Yes,No,Purchase from shop,4000.0,8.0,Akendo - big,H00704-05-01
H0070401,Charcoal,Yes,Yes,No,No,Purchase from marketplace,25000.0,25.0,Sadolin tin - 3ltrs,H00704-05-01
H0070401,Crop Residue,No,,,,,,,,H00704-05-01
H0070401,lpg,No,,,,,,,,H00704-05-01
H0070701,Kerosene,No,,,,,,,,H00707-05-01
H0070701,Dung,No,,,,,,,,H00707-05-01
H0070701,Solar,No,,,,,,,,H00707-05-01
H0070701,lpg,No,,,,,,,,H00707-05-01
H0070701,Charcoal,Yes,Yes,No,No,Purchase on the black market,60000.0,1.0,Sack (120kgs),H00707-05-01
H0070701,Firewood,No,,,,,,,,H00707-05-01
H0070701,Electricity,Yes,No,Yes,No,,,,,H00707-05-01
H0070701,Crop Residue,No,,,,,,,,H00707-05-01
H0071001,lpg,No,,,,,,,,H00710-05-01
H0071001,Kerosene,No,,,,,,,,H00710-05-01
H0071001,Firewood,No,,,,,,,,H00710-05-01
H0071001,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,0.5,Sack (100kgs),H00710-05-01
H0071001,Electricity,Yes,No,Yes,No,,,,,H00710-05-01
H0071001,Crop Residue,No,,,,,,,,H00710-05-01
H0071001,Solar,No,,,,,,,,H00710-05-01
H0071001,Dung,No,,,,,,,,H00710-05-01
H0071201,Firewood,No,,,,,,,,H00712-05-01
H0071201,Electricity,Yes,No,Yes,No,,,,,H00712-05-01
H0071201,Solar,No,,,,,,,,H00712-05-01
H0071201,Kerosene,Yes,Yes,No,No,Purchase from marketplace,2900.0,1.0,Litre,H00712-05-01
H0071201,Crop Residue,No,,,,,,,,H00712-05-01
H0071201,lpg,No,,,,,,,,H00712-05-01
H0071201,Charcoal,Yes,Yes,No,No,Purchase from marketplace,20000.0,1.0,Sack (50kgs),H00712-05-01
H0071201,Dung,No,,,,,,,,H00712-05-01
H0080101,Electricity,Yes,No,Yes,No,,,,,H00801-05-01
H0080101,Firewood,No,,,,,,,,H00801-05-01
H0080101,lpg,No,,,,,,,,H00801-05-01
H0080101,Solar,No,,,,,,,,H00801-05-01
H0080101,Dung,No,,,,,,,,H00801-05-01
H0080101,Charcoal,Yes,Yes,No,No,Purchase from marketplace,15000.0,1.0,Sack (120kgs),H00801-05-01
H0080101,Kerosene,Yes,No,Yes,No,Purchase from public utility,2000.0,0.5,Litre,H00801-05-01
H0080101,Crop Residue,No,,,,,,,,H00801-05-01
H0080201,Crop Residue,No,,,,,,,,H00802-05-01
H0080201,Solar,No,,,,,,,,H00802-05-01
H0080201,lpg,No,,,,,,,,H00802-05-01
H0080201,Charcoal,Yes,Yes,No,No,Purchase from marketplace,60000.0,60.0,Sadolin tin - 3ltrs,H00802-05-01
H0080201,Firewood,No,,,,,,,,H00802-05-01
H0080201,Kerosene,No,,,,,,,,H00802-05-01
H0080201,Dung,No,,,,,,,,H00802-05-01
H0080201,Electricity,No,,,,,,,,H00802-05-01
H0080901,lpg,No,,,,,,,,H00809-05-01
H0080901,Electricity,Yes,No,Yes,No,,,,,H00809-05-01
H0080901,Kerosene,No,,,,,,,,H00809-05-01
H0080901,Charcoal,Yes,Yes,No,No,Purchase on the black market,70000.0,1.0,Sack (120kgs),H00809-05-01
H0080901,Firewood,No,,,,,,,,H00809-05-01
H0080901,Solar,No,,,,,,,,H00809-05-01
H0080901,Dung,No,,,,,,,,H00809-05-01
H0080901,Crop Residue,No,,,,,,,,H00809-05-01
H0081001,Electricity,Yes,No,Yes,No,,,,,H00810-05-01
H0081001,Dung,No,,,,,,,,H00810-05-01
H0081001,Charcoal,Yes,Yes,No,No,Purchase from marketplace,50000.0,1.0,Sack (120kgs),H00810-05-01
H0081001,Solar,No,,,,,,,,H00810-05-01
H0081001,lpg,No,,,,,,,,H00810-05-01
H0081001,Crop Residue,No,,,,,,,,H00810-05-01
H0081001,Kerosene,No,,,,,,,,H00810-05-01
H0081001,Firewood,No,,,,,,,,H00810-05-01
H0081101,Dung,No,,,,,,,,H00811-05-01
H0081101,lpg,No,,,,,,,,H00811-05-01
H0081101,Crop Residue,No,,,,,,,,H00811-05-01
H0081101,Firewood,No,,,,,,,,H00811-05-01
H0081101,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Sadolin tin - 3ltrs,H00811-05-01
H0081101,Kerosene,No,,,,,,,,H00811-05-01
H0081101,Electricity,Yes,No,Yes,Yes,,,,,H00811-05-01
H0081101,Solar,No,,,,,,,,H00811-05-01
H0120901,Dung,No,,,,,,,,H01209-05-01
H0120901,Electricity,Yes,No,Yes,No,,,,,H01209-05-01
H0120901,Firewood,No,,,,,,,,H01209-05-01
H0120901,Kerosene,No,,,,,,,,H01209-05-01
H0120901,Crop Residue,No,,,,,,,,H01209-05-01
H0120901,Solar,No,,,,,,,,H01209-05-01
H0120901,Charcoal,Yes,Yes,No,No,Purchase from marketplace,60000.0,1.0,Sack (100kgs),H01209-05-01
H0120901,lpg,No,,,,,,,,H01209-05-01
H0120902,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Sadolin tin - 3ltrs,H01209-05-02
H0120902,Dung,No,,,,,,,,H01209-05-02
H0120902,Kerosene,No,,,,,,,,H01209-05-02
H0120902,Electricity,Yes,No,Yes,No,,,,,H01209-05-02
H0120902,Solar,No,,,,,,,,H01209-05-02
H0120902,Firewood,No,,,,,,,,H01209-05-02
H0120902,lpg,No,,,,,,,,H01209-05-02
H0120902,Crop Residue,No,,,,,,,,H01209-05-02
H0120903,Dung,No,,,,,,,,H01209-05-03
H0120903,Firewood,No,,,,,,,,H01209-05-03
H0120903,Crop Residue,No,,,,,,,,H01209-05-03
H0120903,lpg,No,,,,,,,,H01209-05-03
H0120903,Electricity,No,,,,,,,,H01209-05-03
H0120903,Charcoal,Yes,Yes,No,No,Purchase from marketplace,50000.0,1.0,Sack (100kgs),H01209-05-03
H0120903,Solar,No,,,,,,,,H01209-05-03
H0120903,Kerosene,No,,,,,,,,H01209-05-03
H0120904,Solar,No,,,,,,,,H01209-05-04
H0120904,Crop Residue,No,,,,,,,,H01209-05-04
H0120904,Electricity,Yes,No,Yes,No,,,,,H01209-05-04
H0120904,Kerosene,Yes,Yes,No,No,Purchase from shop,6000.0,2.0,Litre,H01209-05-04
H0120904,Charcoal,Yes,Yes,No,No,Purchase from marketplace,15000.0,15.0,Sadolin tin - 3ltrs,H01209-05-04
H0120904,Firewood,No,,,,,,,,H01209-05-04
H0120904,Dung,No,,,,,,,,H01209-05-04
H0120904,lpg,No,,,,,,,,H01209-05-04
H0120905,Electricity,No,,,,,,,,H01209-05-05
H0120905,Dung,No,,,,,,,,H01209-05-05
H0120905,Crop Residue,No,,,,,,,,H01209-05-05
H0120905,Solar,No,,,,,,,,H01209-05-05
H0120905,Firewood,No,,,,,,,,H01209-05-05
H0120905,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Heap - Medium,H01209-05-05
H0120905,lpg,No,,,,,,,,H01209-05-05
H0120905,Kerosene,No,,,,,,,,H01209-05-05
H0121001,Solar,No,,,,,,,,H01210-05-01
H0121001,Electricity,No,,,,,,,,H01210-05-01
H0121001,Charcoal,Yes,Yes,No,No,Purchase from marketplace,70000.0,1.0,Sack (120kgs),H01210-05-01
H0121001,Dung,No,,,,,,,,H01210-05-01
H0121001,Kerosene,No,,,,,,,,H01210-05-01
H0121001,Firewood,No,,,,,,,,H01210-05-01
H0121001,lpg,No,,,,,,,,H01210-05-01
H0121001,Crop Residue,No,,,,,,,,H01210-05-01
H0140101,Kerosene,No,,,,,,,,H01401-05-01
H0140101,Firewood,No,,,,,,,,H01401-05-01
H0140101,Solar,No,,,,,,,,H01401-05-01
H0140101,Crop Residue,No,,,,,,,,H01401-05-01
H0140101,Dung,No,,,,,,,,H01401-05-01
H0140101,Electricity,Yes,No,Yes,No,,,,,H01401-05-01
H0140101,lpg,No,,,,,,,,H01401-05-01
H0140101,Charcoal,Yes,Yes,No,No,Purchase from shop,26250.0,0.75,Sack (100kgs),H01401-05-01
H0140201,Charcoal,Yes,Yes,No,No,Purchase from marketplace,70000.0,1.0,Sack (100kgs),H01402-05-01
H0140201,Crop Residue,No,,,,,,,,H01402-05-01
H0140201,Electricity,Yes,No,Yes,No,,,,,H01402-05-01
H0140201,Kerosene,No,,,,,,,,H01402-05-01
H0140201,Firewood,No,,,,,,,,H01402-05-01
H0140201,lpg,No,,,,,,,,H01402-05-01
H0140201,Dung,No,,,,,,,,H01402-05-01
H0140201,Solar,No,,,,,,,,H01402-05-01
H0140601,Crop Residue,No,,,,,,,,H01406-05-01
H0140601,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Heap - Small,H01406-05-01
H0140601,Electricity,Yes,No,Yes,No,,,,,H01406-05-01
H0140601,Solar,No,,,,,,,,H01406-05-01
H0140601,Dung,No,,,,,,,,H01406-05-01
H0140601,Kerosene,Yes,No,Yes,No,Purchase from shop,700.0,0.25,Litre,H01406-05-01
H0140601,Firewood,No,,,,,,,,H01406-05-01
H0140601,lpg,No,,,,,,,,H01406-05-01
H0140901,Solar,No,,,,,,,,H01409-05-01
H0140901,Kerosene,Yes,Yes,Yes,No,Purchase from shop,12000.0,2.0,Litre,H01409-05-01
H0140901,Charcoal,Yes,Yes,No,No,Purchase from marketplace,20000.0,4.0,Plastic basin - 15ltrs,H01409-05-01
H0140901,lpg,No,,,,,,,,H01409-05-01
H0140901,Dung,No,,,,,,,,H01409-05-01
H0140901,Firewood,No,,,,,,,,H01409-05-01
H0140901,Electricity,No,,,,,,,,H01409-05-01
H0140901,Crop Residue,No,,,,,,,,H01409-05-01
H0160401,Crop Residue,No,,,,,,,,H01604-05-01
H0160401,Dung,No,,,,,,,,H01604-05-01
H0160401,Firewood,No,,,,,,,,H01604-05-01
H0160401,lpg,Yes,Yes,No,No,Purchase from public utility,50000.0,14.0,Kg,H01604-05-01
H0160401,Solar,No,,,,,,,,H01604-05-01
H0160401,Electricity,Yes,Yes,Yes,No,,,,,H01604-05-01
H0160401,Charcoal,Yes,Yes,No,No,Purchase from shop,10000.0,10.0,Sadolin tin - 3ltrs,H01604-05-01
H0160401,Kerosene,No,,,,,,,,H01604-05-01
H0160501,Kerosene,No,,,,,,,,H01605-05-01
H0160501,Firewood,No,,,,,,,,H01605-05-01
H0160501,Electricity,Yes,No,Yes,No,,,,,H01605-05-01
H0160501,Solar,No,,,,,,,,H01605-05-01
H0160501,Dung,No,,,,,,,,H01605-05-01
H0160501,Crop Residue,No,,,,,,,,H01605-05-01
H0160501,lpg,No,,,,,,,,H01605-05-01
H0160501,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,0.5,Sack (100kgs),H01605-05-01
H0161201,Charcoal,Yes,Yes,No,No,Purchase from marketplace,10000.0,10.0,Sadolin tin - 3ltrs,H01612-05-01
H0161201,Dung,No,,,,,,,,H01612-05-01
H0161201,Electricity,Yes,No,Yes,No,,,,,H01612-05-01
H0161201,Firewood,No,,,,,,,,H01612-05-01
H0161201,Kerosene,No,,,,,,,,H01612-05-01
H0161201,Crop Residue,No,,,,,,,,H01612-05-01
H0161201,Solar,No,,,,,,,,H01612-05-01
H0161201,lpg,No,,,,,,,,H01612-05-01
H0180101,Dung,No,,,,,,,,H01801-05-01
H0180101,Electricity,Yes,No,Yes,No,,,,,H01801-05-01
H0180101,Charcoal,Yes,Yes,No,No,Purchase from marketplace,60000.0,1.0,Sack (100kgs),H01801-05-01
H0180101,Firewood,No,,,,,,,,H01801-05-01
H0180101,Kerosene,No,,,,,,,,H01801-05-01
H0180101,Solar,No,,,,,,,,H01801-05-01
H0180101,Crop Residue,No,,,,,,,,H01801-05-01
H0180101,lpg,No,,,,,,,,H01801-05-01
H0180601,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Tin - 5ltrs,H01806-05-01
H0180601,Dung,No,,,,,,,,H01806-05-01
H0180601,Firewood,No,,,,,,,,H01806-05-01
H0180601,Solar,No,,,,,,,,H01806-05-01
H0180601,lpg,No,,,,,,,,H01806-05-01
H0180601,Crop Residue,No,,,,,,,,H01806-05-01
H0180601,Electricity,No,,,,,,,,H01806-05-01
H0180601,Kerosene,Yes,No,Yes,No,Purchase from public utility,2600.0,1.0,Litre,H01806-05-01
H0180602,Charcoal,No,,,,,,,,H01806-05-02
H0180602,Kerosene,Yes,No,Yes,No,Purchase from shop,750.0,0.25,Litre,H01806-05-02
H0180602,lpg,No,,,,,,,,H01806-05-02
H0180602,Electricity,Yes,No,Yes,No,,,,,H01806-05-02
H0180602,Firewood,Yes,Yes,No,No,Gather / collect from village,,,,H01806-05-02
H0180602,Solar,No,,,,,,,,H01806-05-02
H0180602,Crop Residue,No,,,,,,,,H01806-05-02
H0180602,Dung,No,,,,,,,,H01806-05-02
H0180901,Solar,No,,,,,,,,H01809-05-01
H0180901,lpg,No,,,,,,,,H01809-05-01
H0180901,Crop Residue,No,,,,,,,,H01809-05-01
H0180901,Electricity,No,,,,,,,,H01809-05-01
H0180901,Charcoal,Yes,Yes,No,No,Purchase from marketplace,60000.0,1.0,Sack (100kgs),H01809-05-01
H0180901,Firewood,No,,,,,,,,H01809-05-01
H0180901,Dung,No,,,,,,,,H01809-05-01
H0180901,Kerosene,No,,,,,,,,H01809-05-01
H0181301,Crop Residue,No,,,,,,,,H01813-05-01
H0181301,Firewood,No,,,,,,,,H01813-05-01
H0181301,Electricity,Yes,No,Yes,No,,,,,H01813-05-01
H0181301,lpg,No,,,,,,,,H01813-05-01
H0181301,Kerosene,Yes,No,Yes,No,Purchase from shop,1000.0,0.25,Litre,H01813-05-01
H0181301,Solar,No,,,,,,,,H01813-05-01
H0181301,Charcoal,Yes,Yes,No,No,Purchase from marketplace,65000.0,1.0,Sack (100kgs),H01813-05-01
H0181301,Dung,No,,,,,,,,H01813-05-01
H0210801,Electricity,Yes,No,Yes,No,,,,,H02108-05-01
H0210801,lpg,No,,,,,,,,H02108-05-01
H0210801,Firewood,No,,,,,,,,H02108-05-01
H0210801,Crop Residue,No,,,,,,,,H02108-05-01
H0210801,Charcoal,Yes,Yes,No,No,Purchase from public utility,40000.0,40.0,Tin - 5ltrs,H02108-05-01
H0210801,Solar,No,,,,,,,,H02108-05-01
H0210801,Dung,No,,,,,,,,H02108-05-01
H0210801,Kerosene,Yes,Yes,Yes,No,Purchase from shop,2000.0,10.0,Akendo - big,H02108-05-01
H0211001,Firewood,No,,,,,,,,H02110-05-01
H0211001,Electricity,Yes,No,Yes,No,,,,,H02110-05-01
H0211001,Charcoal,Yes,Yes,No,No,Purchase from marketplace,65000.0,1.0,Sack (120kgs),H02110-05-01
H0211001,Crop Residue,No,,,,,,,,H02110-05-01
H0211001,Kerosene,Yes,No,Yes,No,Purchase from public utility,675.0,0.25,Litre,H02110-05-01
H0211001,lpg,No,,,,,,,,H02110-05-01
H0211001,Solar,No,,,,,,,,H02110-05-01
H0211001,Dung,No,,,,,,,,H02110-05-01
H0211101,Dung,No,,,,,,,,H02111-05-01
H0211101,Firewood,No,,,,,,,,H02111-05-01
H0211101,Solar,No,,,,,,,,H02111-05-01
H0211101,Kerosene,No,,,,,,,,H02111-05-01
H0211101,Electricity,Yes,No,Yes,No,,,,,H02111-05-01
H0211101,Charcoal,Yes,Yes,No,No,Purchase from public utility,65000.0,1.0,Sack (100kgs),H02111-05-01
H0211101,Crop Residue,No,,,,,,,,H02111-05-01
H0211101,lpg,No,,,,,,,,H02111-05-01
H0220301,lpg,No,,,,,,,,H02203-05-01
H0220301,Firewood,No,,,,,,,,H02203-05-01
H0220301,Kerosene,No,,,,,,,,H02203-05-01
H0220301,Solar,No,,,,,,,,H02203-05-01
H0220301,Electricity,Yes,No,Yes,No,,,,,H02203-05-01
H0220301,Dung,No,,,,,,,,H02203-05-01
H0220301,Crop Residue,No,,,,,,,,H02203-05-01
H0220301,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,0.5,Sack (100kgs),H02203-05-01
H0220501,Crop Residue,No,,,,,,,,H02205-05-01
H0220501,lpg,Yes,Yes,No,No,Purchase from public utility,58000.0,5.0,Kg,H02205-05-01
H0220501,Solar,No,,,,,,,,H02205-05-01
H0220501,Dung,No,,,,,,,,H02205-05-01
H0220501,Charcoal,Yes,Yes,No,No,Purchase from marketplace,52500.0,0.75,Sack (120kgs),H02205-05-01
H0220501,Electricity,Yes,Yes,Yes,No,,,,,H02205-05-01
H0220501,Firewood,No,,,,,,,,H02205-05-01
H0220501,Kerosene,Yes,No,Yes,No,Purchase from shop,450.0,3.0,Akendo - medium,H02205-05-01
H0220601,Solar,No,,,,,,,,H02206-05-01
H0220601,Crop Residue,No,,,,,,,,H02206-05-01
H0220601,Dung,No,,,,,,,,H02206-05-01
H0220601,Electricity,Yes,No,Yes,No,,,,,H02206-05-01
H0220601,Kerosene,Yes,No,Yes,No,Purchase from shop,3800.0,1.0,Litre,H02206-05-01
H0220601,Charcoal,Yes,Yes,No,No,Purchase from marketplace,35000.0,0.5,Sack (50kgs),H02206-05-01
H0220601,Firewood,No,,,,,,,,H02206-05-01
H0220601,lpg,No,,,,,,,,H02206-05-01
H0220701,Solar,No,,,,,,,,H02207-05-01
H0220701,Charcoal,Yes,Yes,No,No,Purchase from marketplace,27500.0,0.5,Sack (100kgs),H02207-05-01
H0220701,Electricity,Yes,Yes,Yes,No,,,,,H02207-05-01
H0220701,Dung,No,,,,,,,,H02207-05-01
H0220701,Crop Residue,No,,,,,,,,H02207-05-01
H0220701,lpg,No,,,,,,,,H02207-05-01
H0220701,Kerosene,Yes,No,Yes,No,Purchase from shop,1900.0,0.5,Litre,H02207-05-01
H0220701,Firewood,No,,,,,,,,H02207-05-01
H0230401,lpg,No,,,,,,,,H02304-05-01
H0230401,Solar,No,,,,,,,,H02304-05-01
H0230401,Electricity,No,,,,,,,,H02304-05-01
H0230401,Charcoal,Yes,Yes,No,No,Purchase from marketplace,30000.0,30.0,Heap - Medium,H02304-05-01
H0230401,Kerosene,No,,,,,,,,H02304-05-01
H0230401,Crop Residue,No,,,,,,,,H02304-05-01
H0230401,Firewood,No,,,,,,,,H02304-05-01
H0230401,Dung,No,,,,,,,,H02304-05-01
H0230501,Dung,No,,,,,,,,H02305-05-01
H0230501,Solar,No,,,,,,,,H02305-05-01
H0230501,Charcoal,Yes,Yes,No,No,Purchase from marketplace,10000.0,1.0,Sack (50kgs),H02305-05-01
H0230501,Electricity,Yes,No,Yes,No,,,,,H02305-05-01
H0230501,Crop Residue,No,,,,,,,,H02305-05-01
H0230501,Firewood,No,,,,,,,,H02305-05-01
H0230501,lpg,No,,,,,,,,H02305-05-01
H0230501,Kerosene,No,,,,,,,,H02305-05-01
H0230801,Solar,No,,,,,,,,H02308-05-01
H0230801,lpg,No,,,,,,,,H02308-05-01
H0230801,Crop Residue,No,,,,,,,,H02308-05-01
H0230801,Kerosene,No,,,,,,,,H02308-05-01
H0230801,Dung,No,,,,,,,,H02308-05-01
H0230801,Firewood,No,,,,,,,,H02308-05-01
H0230801,Electricity,No,,,,,,,,H02308-05-01
